TRANS DATE,TRANS VAT DESC,ORIGINAL GROSS AMT,MERCHANT NAME,CARD NUMBER,TRANS CAC CODE 1,TRANS CAC DESC 1,TRANS CAC CODE 2,TRANS CAC DESC 2,TRANS CAC CODE 3,year,month,day,wday
2015-12-04,VR,72.34,shell kings 587,************5770,K020,Vehicle Fuel,RV12N,African-Caribbean DC,A00,2015,12,4,Fri
2015-12-30,VR,51.65,tex sussex sstn,************8738,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,2015,12,30,Wed
2015-12-24,VR,59.1,tex sussex sstn,************8738,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,2015,12,24,Thu
2015-12-10,VR,56.34,tex sussex sstn,************8738,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,2015,12,10,Thu
2015-12-17,VR,56,malthurst petroleu,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,2015,12,17,Thu
2015-12-14,VR,66,malthurst petroleu,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,2015,12,14,Mon
2015-12-08,VR,60.01,malthurst petroleu,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,2015,12,8,Tue
2015-12-04,VR,50,esso perry barr service s,************5804,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,2015,12,4,Fri
2015-12-22,VR,49.92,bp six ways f/stn,************6047,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,2015,12,22,Tue
2015-12-15,VR,32.47,bp six ways f/stn,************6047,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,2015,12,15,Tue
2015-12-15,VR,45.23,bp six ways f/stn,************6047,K020,Vehicle Fuel,RV167,"Elwood Dc (Pd), 270 Reservoir Rd B23",A00,2015,12,15,Tue
2015-12-18,NA,668.85,travelodge website,************6720,M900,Hospitality,RJACG,H/Less Temporary Accomdtn Team,A00,2015,12,18,Fri
2015-12-14,NA,416.6,travelodge website,************6720,M900,Hospitality,RJACG,H/Less Temporary Accomdtn Team,A00,2015,12,14,Mon
2015-12-10,NA,867,travelodge website,************6720,M900,Hospitality,RJACG,H/Less Temporary Accomdtn Team,A00,2015,12,10,Thu
2015-12-22,VR,46.47,tesco pfs 2484,************5507,K020,Vehicle Fuel,RV11Y,"Marsh Lane Dce, 79, B23",A00,2015,12,22,Tue
2015-12-11,VR,36.41,shell kings 587,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,2015,12,11,Fri
2015-12-09,VR,38.51,shell kings 587,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,2015,12,9,Wed
2015-12-09,VR,67.25,co-op group petrol,************2823,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,2015,12,9,Wed
2015-12-18,VR,52.01,tesco pfs 2996,************5134,K020,Vehicle Fuel,RV191,Moseley Day Centre,A00,2015,12,18,Fri
2015-12-09,VR,78.13,malthurst limited,************5463,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,2015,12,9,Wed
2015-12-09,VR,56.96,malthurst limited,************5463,K020,Vehicle Fuel,RV18P,Hockley Day Centre,A00,2015,12,9,Wed
2015-12-23,VR,77.69,esso perry barr service s,************9038,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,2015,12,23,Wed
2015-12-15,VR,69.53,bush  service station,************9038,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,2015,12,15,Tue
2015-12-15,VR,30,texaco ash motor,************9038,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,2015,12,15,Tue
2015-12-07,VR,20.01,esso perry barr service s,************9038,K020,Vehicle Fuel,RV1K1,Elders Group - Erdington,A00,2015,12,7,Mon
2015-12-17,VR,68.7,malthurst waterlinks,************8606,K020,Vehicle Fuel,RV192,Sparkbrook Resource Centre,A00,2015,12,17,Thu
2015-12-07,VR,78.91,texaco ash motor,************8606,K020,Vehicle Fuel,RV192,Sparkbrook Resource Centre,A00,2015,12,7,Mon
2015-12-17,VR,65,shell harborne,************8311,K020,Vehicle Fuel,RV1K3,Elders Group - Harborne,A00,2015,12,17,Thu
2015-12-03,VR,59.39,shell harborne,************8311,K020,Vehicle Fuel,RV1K3,Elders Group - Harborne,A00,2015,12,3,Thu
2015-12-10,VR,20.28,beeches road servi,************8061,K020,Vehicle Fuel,RVA12,Enablement Tyburn Rd,A00,2015,12,10,Thu
2015-12-21,VR,53.03,tesco pfs 2484,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,2015,12,21,Mon
2015-12-11,VR,37.41,penns lane sf connect,************4985,K020,Vehicle Fuel,RV18N,Ebrook Day Centre,A00,2015,12,11,Fri
2015-12-18,VR,53.69,tex sussex sstn,************5440,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,2015,12,18,Fri
2015-12-16,VR,62.48,tex sussex sstn,************5440,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,2015,12,16,Wed
2015-12-11,VR,58.44,sparkbrook service,************5440,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,2015,12,11,Fri
2015-12-07,VR,63.83,sparkbrook service,************5440,K020,Vehicle Fuel,RV12T,"Shakti Elders Dce, 73 Conybere St, B12",A00,2015,12,7,Mon
2015-12-21,VR,51.39,rontec weoley castle,************7776,K020,Vehicle Fuel,RV18X,Harborne Day Centre,A00,2015,12,21,Mon
